name,body_type,price,url,image_count,scraped_at
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:39:50.223269
Tata Punch EV,Hatchback,Rs.9.99 - 14.44 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch-ev,5,2025-09-28T07:40:00.311375
Tata Harrier EV,SUV,Rs.21.49 - 30.23 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/harrier-ev,5,2025-09-28T07:40:08.153218
Tata Nexon,Passenger Car,Rs.7.32 - 14.05 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/nexon,5,2025-09-28T07:40:15.901404
Tata Punch,Hatchback,Rs.5.50 - 9.30 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch,5,2025-09-28T07:40:22.097556
Mahindra BE 6,Passenger Car,Rs.18.90 - 27.79 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/be-6,5,2025-09-28T07:40:32.038410
Mahindra XEV 9e,Passenger Car,Rs.21.90 - 31.25 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/xev-9e,5,2025-09-28T07:40:39.791181
Honda Amaze,Sedan,Rs.7.41 - 10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/honda/amaze,5,2025-09-28T07:40:48.618263
(View On Road Price),Passenger Car,Rs.7.41 - 10 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/honda/amaze/price-in-new-delhi,1,2025-09-28T07:40:59.238437
Honda City,Sedan,Rs.11.95 - 16.07 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/honda/city,5,2025-09-28T07:41:06.976454
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:41:24.060606
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:41:30.584391
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:41:36.566224
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:41:42.673177
Tata Punch EV,Hatchback,Rs.9.99 - 14.44 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch-ev,5,2025-09-28T07:41:52.976847
Tata Harrier EV,SUV,Rs.21.49 - 30.23 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/harrier-ev,5,2025-09-28T07:42:01.119050
Tata Nexon,Passenger Car,Rs.7.32 - 14.05 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/nexon,5,2025-09-28T07:42:09.189626
Tata Punch,Hatchback,Rs.5.50 - 9.30 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch,5,2025-09-28T07:42:17.951576
Mahindra BE 6,Passenger Car,Rs.18.90 - 27.79 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/be-6,5,2025-09-28T07:42:25.345998
Mahindra XEV 9e,Passenger Car,Rs.21.90 - 31.25 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/xev-9e,5,2025-09-28T07:42:33.325711
Kia Sonet,Passenger Car,Rs.7.30 - 14.09 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/kia/sonet,5,2025-09-28T07:42:40.488953
(View On Road Price),Passenger Car,Rs.7.30 - 14.09 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/kia/sonet/price-in-new-delhi,1,2025-09-28T07:42:49.268735
Kia Seltos,Passenger Car,Rs.10.79 - 19.81 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/kia/seltos,5,2025-09-28T07:42:57.409915
(View On Road Price),Passenger Car,Rs.10.79 - 19.81 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/kia/seltos/price-in-new-delhi,1,2025-09-28T07:43:08.248190
Kia Carens,MUV/MPV,Rs.10.99 - 12.77 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/kia/carens,5,2025-09-28T07:43:16.934107
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:43:33.982974
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:43:41.386774
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:43:49.046917
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:43:57.635563
Tata Punch EV,Hatchback,Rs.9.99 - 14.44 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch-ev,5,2025-09-28T07:44:06.307200
Tata Harrier EV,SUV,Rs.21.49 - 30.23 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/harrier-ev,5,2025-09-28T07:44:15.784356
Tata Nexon,Passenger Car,Rs.7.32 - 14.05 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/nexon,5,2025-09-28T07:44:24.308967
Tata Punch,Hatchback,Rs.5.50 - 9.30 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/tata/punch,5,2025-09-28T07:44:30.917908
Mahindra BE 6,Passenger Car,Rs.18.90 - 27.79 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/be-6,5,2025-09-28T07:44:39.487229
Mahindra XEV 9e,Passenger Car,Rs.21.90 - 31.25 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/mahindra/xev-9e,3,2025-09-28T07:44:49.262618
